Jenis Pengeluaran,[Seri 1960] 1. PDB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,[Seri 1973] 1. PDB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,[Seri 1983] 1. PDB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,[Seri 1993] 1. PDB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,[Seri 2000] 1. PDB Triwulanan Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,[Seri 2010] 1. PDB Triwulanan Atas Dasar Harga Berlaku menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,
,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1999,1998,1997,1996,1995,1994,1993,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PRODUK DOMESTIK BRUTO,4548,3794,3340.2,2718.3,2096.7,847.8,315.9,23710,7133.5,3208.8,1335.1,470.1,390.2,59632.6,54027,45445.7,32025.4,22746,19010.7,15466.7,12642.5,10708,6753.4,259884.5,227450.2,195597.2,167184.7,142104.8,124816.9,102682.6,96996.9,89885.1,77622.8,1099731.6,955753.5,627695.4,532568,454514.1,382219.7,329775.8,5606203.4,4948688.4,3950893.2,3339216.8,2774281.1,2295826.2,2013674.6,1821833.4,1646322,1389769.9,-,16970789.2,15438017.5,15832657.2,14838756,13589825.7,12401728.5,11526332.8,10569705.3,9546134,8615704.5,7831726,6864133.1
