GDP
390.2
470.1
1335.1
3208.8
7133.5
23710.0
315.9
847.8
2096.7
2718.3
3340.2
3794.0
4548.0
6753.4
10708.0
12642.5
15466.7
19010.7
22746.0
32025.4
45445.7
54027.0
59632.6
77622.8
89885.1
96996.9
102682.6
124816.9
142104.8
167184.7
195597.2
227450.2
259884.5
329775.8
382219.7
454514.1
532568.0
627695.4
955753.5
1099731.6
1389769.9
1646322.0
1821833.4
2013674.6
2295826.2
2774281.1
3339216.8
3950893.2
4948688.4
5606203.4
6864133.1
7831726.0
8615704.5
9546134.0
10569705.3
11526332.8
12401728.5
13589825.7
14838756.0
15832657.2
15438017.5
16970789.2
